"","year","position","title","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","genre_tags","id","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","hit"
"1951",1977,15,"Telephone Line","Electric Light Orchestra",0.132,0.054,0.814,0.9583,1.7,91.78,4,347.4,23,32,258,50,"electronic/dance, pop, rock","3SPcBPzvbmWLl8NU5efx4W",280360,0.467,0.367,9,-8.164,1,0.0298,0.771,2.27e-05,0.0847,0.205,70.856,4,1
"1952",1977,18,"Sir Duke","Stevie Wonder",0.019,0.025,0.955,-0.1426,0.9,99.23,4.4,324,19,21,271,40,"pop, soul","4pNiE4LCVV74vfIBaUHm1b",232760,0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,4,1
"1953",1977,23,"Rich Girl","Daryl Hall and John Oates",0.147,0.088,0.765,0.9849,0.5,105.66,5.2,364.5,6,21,330,40,"","0qRR9d89hIS0MHRkQ0ejxX",142787,0.573,0.683,5,-6.644,1,0.176,0.461,0,0.0935,0.817,169.519,4,1
"1954",1977,24,"When I Need You","Leo Sayer",0.198,0.018,0.784,0.9925,-0.3,107.69,4.4,281.7,13,19,252,39,"","2TcwEYyydQuEMJwdmSgVLD",253227,0.597,0.342,8,-8.167,1,0.0299,0.389,3.04e-05,0.114,0.11,109.609,3,1
"1955",1977,26,"Car Wash","Rose Royce",0.163,0.031,0.806,0.9852,0.1,106.67,4.8,333,15,21,307,42,"disco, soul","2pbWkjtGtjkzBdZ95GFINm",307573,0.667,0.521,9,-13.212,0,0.115,0.202,6.55e-05,0.0723,0.856,117.917,4,1
"1956",1977,28,"Fly Like An Eagle","Steve Miller Band",0.16,0.007,0.832,0.9876,1.3,92.8,3.6,351.9,16,46,277,57,"pop, rock","3e0FzZjTXOUtiJGSClOBrI",282693,0.561,0.754,9,-12.769,0,0.112,0.61,0.0194,0.328,0.642,100.08,4,1
"1957",1977,31,"Feels Like The First Time","Foreigner",0.196,0.029,0.775,0.9905,0.9,99.23,4.4,303.3,14,19,252,37,"rock","36xEjbl8DtevPJgw6i9IuY",232333,0.499,0.802,7,-4.537,1,0.0547,0.0136,1.56e-06,0.128,0.504,107.705,4,1
"1958",1977,34,"Right Time Of The Night","Jennifer Warnes",0.112,0.044,0.844,0.9509,0.9,99.23,4.4,225,10,24,194,32,"","2XKMIB0VzXF22pJpBKV6xn",173653,0.563,0.478,10,-10.149,1,0.024,0.551,0,0.159,0.749,93.684,4,1
"1959",1977,37,"Looks Like We Made It","Barry Manilow",0.223,0.054,0.723,0.9942,2.1,90.77,4.4,302.4,13,19,239,37,"rock","3QqO9FxVrikwo7kS5ls3kQ",213973,0.297,0.481,0,-7.681,1,0.0278,0.574,0.00352,0.094,0.456,139.896,4,1
"1960",1977,38,"So In To You","Atlanta Rhythm Section",0.122,0.032,0.846,0.9642,0.5,100.24,4,263.7,18,22,223,39,"pop","5mpzCj9l1pYsL4XOXiea84",263800,0.606,0.501,5,-10.964,0,0.0335,0.405,0.0539,0.0945,0.82,86.057,4,1
"1961",1977,39,"Dreams","Fleetwood Mac",0.209,0.077,0.714,0.9852,0.9,99.23,4.4,271.8,18,15,232,38,"blues, pop, rock","0ofHAoxe9vBkTCp2UQIavz",257800,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4,1
"1962",1977,41,"Dazz","Brick",0.066,0.037,0.897,0.5859,0.5,100.24,4,195.3,6,34,160,31,"","5gQCUf4lfy6GpuhdPzxQ6B",202000,0.722,0.778,4,-7.931,1,0.0611,0.0697,7.46e-06,0.0414,0.839,109.076,4,1
"1963",1977,47,"Just A Song Before I Go","Crosby, Stills and Nash",0.139,0.018,0.844,0.9274,0.5,100.24,4,133.2,14,6,108,20,"","4dAN7KcWCWx5jV6dpwtfvN",133960,0.671,0.233,11,-18.003,0,0.0378,0.875,0.00016,0.12,0.486,108.065,4,1
"1964",1977,48,"You And Me","Alice Cooper",0.118,0.011,0.871,0.9759,-0.3,107.69,4.4,340.2,16,31,300,50,"rock","5k68ZFktJA3JlRfenOJA9y",306573,0.613,0.317,10,-16.102,0,0.0293,0.369,0.000288,0.0775,0.473,113.124,4,1
"1965",1977,50,"Lonely Boy","Andrew Gold",0.124,0.156,0.72,-0.7003,0.5,105.66,5.2,278.1,12,14,249,31,"rock","6wGMLoEqD2k3RBXFHD0yUp",264893,0.588,0.598,9,-13.288,1,0.0296,0.0386,5.83e-05,0.107,0.866,123.724,4,1
"1966",1977,51,"I Wish","Stevie Wonder",0.137,0.045,0.818,0.9743,2.1,96.18,5.6,301.5,24,9,247,25,"pop, soul","687YZan9Gol1UVvbpUSO6Y",252373,0.821,0.721,10,-10.401,0,0.0515,0.0816,7.37e-06,0.0664,0.885,105.866,4,1
"1967",1977,55,"Night Moves","Bob Seger",0.106,0.077,0.817,0.8775,2.1,90.77,4.4,453.6,38,5,356,59,"","6UBjSnyP1O5W5ndJoO9vUk",324423,0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,4,1
"1968",1977,57,"Heard It In A Love Song","Marshall Tucker Band",0.236,0.012,0.752,0.9952,-0.7,108.7,4,292.5,24,21,261,44,"","0xTY7Tld4DRxqUhxdw7bZW",297973,0.555,0.797,2,-7.484,1,0.0389,0.168,0.00268,0.12,0.683,152.87,4,1
"1969",1977,58,"Carry On Wayward Son","Kansas",0.21,0.075,0.715,0.988,0.9,99.23,4.4,296.1,25,18,245,36,"rock","4DMKwE2E2iYDKY01C335Uw",323000,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,4,1
"1970",1977,60,"My Heart Belongs To Me","Barbra Streisand",0.32,0.014,0.667,0.9965,0.9,99.23,4.4,196.2,8,14,162,27,"pop","7u2FvRYl39hmNHklBlsjkm",201160,0.274,0.209,0,-15.723,0,0.0328,0.743,6.84e-06,0.183,0.297,139.316,4,1
"1971",1977,63,"Stand Tall","Burton Cummings",0.146,0.065,0.789,0.8123,4.1,80.28,5.2,250.2,22,8,185,23,"rock","14IKLtPlsqWL077svIJYey",272293,0.463,0.396,7,-10.128,1,0.0304,0.0243,7.23e-05,0.173,0.365,80.753,4,1
"1972",1977,65,"Weekend In New England","Barry Manilow",0.187,0.012,0.801,0.9847,-0.3,107.69,4.4,181.8,13,10,173,25,"rock","5XWmnuSMexMy6WRYz5rSfq",226920,0.245,0.397,0,-6.997,1,0.0272,0.568,1.83e-05,0.171,0.244,80.427,3,1
"1973",1977,68,"Cold As Ice","Foreigner",0.14,0.044,0.816,0.9753,2.5,89.75,4.8,232.2,13,12,176,23,"rock","7vidktgNZFQylTgH1GEnMs",200213,0.562,0.609,3,-7.063,0,0.0271,0.0264,0,0.17,0.512,130.753,4,1
"1974",1977,74,"Lido Shuffle","Boz Scaggs",0.048,0.047,0.905,0.2732,2.5,89.75,4.8,295.2,22,15,235,33,"","2NtqZmfRIDkXJ2YvY2Kv1F",221613,0.593,0.783,10,-4.716,1,0.0358,0.0165,7.26e-05,0.167,0.646,141.345,4,1
"1975",1977,80,"Love So Right","Bee Gees",0.256,0.095,0.649,0.9945,0.9,104.64,5.6,271.8,9,9,249,25,"electronic/dance, disco, pop","15kIT2UrJ9t5edUlE8aQbG",217533,0.476,0.627,4,-7,1,0.0293,0.208,8.15e-05,0.0766,0.579,161.862,4,1
"1976",1977,81,"The Rubberband Man","Spinners",0.067,0.057,0.876,0.6058,0.5,100.24,4,478.8,24,29,387,65,"","13Mzsb8VzRSZ5w3pM48cn6",213000,0.801,0.446,10,-14.605,1,0.0735,0.74,0.038,0.0832,0.925,97.898,4,1
"1977",1977,82,"I Never Cry","Alice Cooper",0.196,0.03,0.774,0.9834,0.9,99.23,4.4,234.9,14,9,198,29,"rock","1J5LngB0ui8GoQvHqxRJFf",224600,0.552,0.284,5,-15.602,1,0.0316,0.45,3.68e-06,0.114,0.374,135.431,4,1
"1978",1977,87,"I Wanna Get Next To You","Rose Royce",0.144,0.044,0.813,0.973,-0.3,107.69,4.4,269.1,17,8,235,38,"disco, soul","1rff5WJrSljfCLYFoXkDiT",238200,0.62,0.179,0,-19.981,1,0.0314,0.835,0.03,0.0928,0.675,130.864,4,1
"1979",1977,90,"Walk This Way","Aerosmith",0.144,0.029,0.827,0.9898,0.1,106.67,4.8,409.5,44,17,360,50,"rock","4JfuiOWlWCkjP6OKurHjSn",220311,0.653,0.73,5,-10.613,1,0.0429,0.0115,1.02e-05,0.0776,0.894,108.709,4,1
"1980",1977,92,"Year Of The Cat","Al Stewart",0.069,0.051,0.88,0.5176,1.3,98.21,4.8,277.2,26,4,227,31,"folk","7MTX3vevnm41xuEoPxWT3j",400067,0.54,0.634,4,-9.165,0,0.0346,0.016,0.0098,0.118,0.546,116.461,4,1
"1981",1977,94,"Go Your Own Way","Fleetwood Mac",0.028,0.084,0.888,-0.8466,-0.3,107.69,4.4,198,10,21,176,28,"blues, pop, rock","07GvNcU1WdyZJq3XxP0kZa",223613,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,4,1
"1982",1977,95,"Sorry Seems To Be The Hardest Word","Elton John",0.042,0.211,0.747,-0.9869,0.1,106.67,4.8,220.5,7,13,205,26,"pop, rock","6XfxmT5QNCXvpZA6PKfWVL",228933,0.371,0.22,7,-12.797,0,0.0324,0.828,1.23e-06,0.195,0.112,118.464,4,1
"1983",1977,97,"Knowing Me, Knowing You","ABBA",0.128,0.094,0.777,0.9121,1.3,98.21,4.8,245.7,15,20,197,28,"disco, pop","1jf2X39H4Jkiqxat0gwWH8",241813,0.511,0.821,2,-5.098,1,0.0339,0.019,6.18e-06,0.218,0.85,107.109,4,1
"1984",1977,98,"How Much Love","Leo Sayer",0.363,0.037,0.6,0.9973,1.3,98.21,4.8,187.2,5,7,162,23,"","1TsekOo0xMKvIgKK7U6zaQ",219067,0.731,0.918,0,-6.627,0,0.0438,0.00771,5.52e-05,0.126,0.851,120.398,4,1
"1985",1978,2,"Night Fever","Bee Gees",0.081,0.034,0.885,0.9435,0.9,99.23,4.4,405,23,35,350,58,"electronic/dance, disco, pop","0qemIQjSxcKyf42VPfZnfa",212800,0.726,0.779,1,-7.057,0,0.0251,0.0178,0.00178,0.104,0.841,109.133,4,1
