"","year","position","title","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","genre_tags","id","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","hit"
"1",1958,5,"Patricia","Perez Prado",0.231,0.031,0.738,0.9783,2.9,88.74,5.2,178.2,16,5,141,16,"","1BbZJplex0pifLjhuhoaK5",139840,0.692,0.482,1,-13.401,1,0.0473,0.12,0.482,0.0651,0.825,137.303,4,1
"2",1958,10,"Return To Me","Dean Martin",0.164,0.137,0.699,0.7338,1.7,91.78,4,121.5,14,5,95,17,"pop","4v7NFFHzF9Zl4VxH48tAVt",146867,0.244,0.135,2,-17.002,1,0.0357,0.963,0.00216,0.0931,0.186,88.684,4,1
"3",1958,18,"Twilight Time","Platters",0.26,0.006,0.734,0.9961,0.5,100.24,4,267.3,18,21,219,37,"","3WS86YB39QKBhrEcy1XB9R",141867,0.537,0.341,8,-7.281,1,0.0288,0.839,0.583,0.136,0.539,83.649,4,1
"4",1958,28,"Tom Dooley","Kingston Trio",0.025,0.273,0.702,-0.9978,0.9,99.23,4.4,306,22,35,266,44,"folk","2qLxtO0iaFGI9x19vU3bDI",183973,0.649,0.144,4,-13.986,1,0.0418,0.806,4.55e-06,0.105,0.458,125.74,4,1
"5",1958,29,"Sweet Little Sixteen","Chuck Berry",0.087,0.009,0.904,0.9394,0.1,101.26,3.6,262.8,27,20,218,47,"blues, rock","4GWHrdyVTC0AWwuRgoWzE7",180747,0.507,0.627,1,-7.838,1,0.0354,0.575,0,0.198,0.962,175.309,4,1
"6",1958,37,"Lollipop","Chordettes",0.084,0.033,0.883,0.9308,5.2,66.4,4,352.8,16,50,224,39,"","39n5XlpDnHe1yE7XEJxyxl",126920,0.646,0.331,8,-16.456,1,0.044,0.617,0.049,0.075,0.879,143.324,4,1
"7",1958,38,"Splish Splash","Bobby Darin",0.177,0.018,0.805,0.9814,2.1,90.77,4.4,288.9,33,8,222,36,"folk, pop, rock","40fD7ct05FvQHLdQTgJelG",131720,0.645,0.943,0,-1.526,1,0.0393,0.385,0,0.37,0.965,147.768,4,1
"8",1958,39,"Who's Sorry Now","Connie Francis",0.196,0.224,0.58,0.4767,-1,109.72,3.6,89.1,2,8,83,18,"pop","25PmGrXaD8YCJYEPf13fVI",144133,0.625,0.322,7,-14.974,1,0.0489,0.588,0.0947,0.112,0.898,123.168,4,1
"9",1958,45,"April Love","Pat Boone",0.2,0,0.8,0.975,2.9,88.74,5.2,130.5,11,5,104,12,"country, pop","0atRJghQEvAG7Zbd9mI1cS",223013,0.224,0.244,7,-15.885,1,0.032,0.901,0.728,0.177,0.206,85.757,4,1
"10",1958,50,"Peggy Sue","Buddy Holly",0.475,0,0.525,0.9987,0.5,100.24,4,209.7,5,18,180,32,"pop, rock","2OARIMw1hpehr86Iwmv04c",150960,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373,4,1
"11",1958,52,"Chantilly Lace","Big Bopper",0.233,0.025,0.742,0.9959,0.5,100.24,4,329.4,18,30,274,49,"pop","07GtDOCxmye5KDWsTSACPk",145267,0.489,0.806,3,-6.054,1,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,4,1
"12",1958,76,"Fever","Peggy Lee",0.149,0.033,0.818,0.9879,0.5,100.24,4,334.8,35,17,275,51,"jazz, pop","5VzS72gm50B1Tg18CXuVvD",164680,0.584,0.358,8,-7.051,1,0.0514,0.747,2.3e-06,0.0818,0.551,105.884,1,1
"13",1958,81,"Ballad of a Teenage Queen","Johnny Cash",0.126,0.032,0.843,0.9843,1.7,97.2,5.2,377.1,19,7,318,36,"blues, country, folk, rock","0PlyzrcKNoaTo5lAVzZCKE",130758,0.676,0.469,11,-9.753,1,0.0615,0.578,1.68e-06,0.192,0.603,97.953,4,1
"14",1958,91,"Guess Things Happen That Way","Johnny Cash",0.185,0.12,0.695,0.9563,0.5,105.66,5.2,188.1,6,13,177,22,"blues, country, folk, rock","3ty6IIfuP0fXZ1XZDqQXmf",110675,0.565,0.505,10,-8.708,1,0.0505,0.896,0.000871,0.206,0.878,148.943,4,1
"15",1959,2,"Mack The Knife","Bobby Darin",0.069,0.046,0.885,0.7461,1.3,98.21,4.8,273.6,38,7,222,30,"folk, pop, rock","0Bo1J0GRpmhuRwLsssITzt",189053,0.593,0.153,1,-13.297,1,0.0418,0.854,0,0.125,0.399,135.17,4,1
"16",1959,12,"Put Your Head On My Shoulder","Paul Anka",0.133,0.083,0.784,0.771,-0.7,108.7,4,135,8,6,122,21,"","5ecbR5fBdLKA4GhwmIi0wD",143827,0.46,0.346,5,-7.038,1,0.0357,0.916,0.000185,0.137,0.679,121.744,3,1
"17",1959,16,"Smoke Gets In Your Eyes","Platters",0.307,0.101,0.592,0.9855,0.5,100.24,4,137.7,13,4,112,21,"","2vSxjnyrWrtxyfzO47EX6q",160933,0.203,0.295,3,-11.155,1,0.0323,0.92,2.05e-06,0.173,0.285,171.222,3,1
"18",1959,17,"Charlie Brown","Coasters",0.039,0,0.961,0.7003,0.5,100.24,4,215.1,11,24,179,34,"rock","4prvaf8r5a02RD3Nv4ajth",141385,0.615,0.824,4,-4.322,1,0.0475,0.821,0,0.174,0.824,133.673,4,1
"19",1959,30,"A Big Hunk O' Love","Elvis Presley",0.211,0.201,0.588,0.8897,2.1,96.18,5.6,249.3,14,8,216,24,"blues, country, pop, rock","7JmEO5mGOuloNVjYMYVlcp",132840,0.536,0.902,0,-7.817,1,0.0443,0.771,0.205,0.413,0.965,87.471,4,1
"20",1959,38,"Tragedy","Thomas Wayne",0.15,0.159,0.691,-0.4767,-0.3,102.27,3.2,118.8,8,9,99,26,"","7HX8vPJ5pGW7ZjSGsQym5Y",131507,0.215,0.142,1,-14.35,1,0.0285,0.991,0.018,0.14,0.158,73.84,4,1
"21",1959,54,"Poison Ivy","Coasters",0.261,0.049,0.691,0.9963,2.1,90.77,4.4,310.5,25,29,232,35,"rock","0T1uUDQs3BV46DLLZIWcc2",166680,0.791,0.716,1,-6.303,1,0.0721,0.622,0.0026,0.155,0.726,119.159,4,1
"22",1959,56,"Lonely Teardrops","Jackie Wilson",0.073,0.065,0.861,0.5619,0.9,99.23,4.4,224.1,10,24,189,29,"soul","6TYR3IVgIwDK6ydc2EPEQq",166213,0.524,0.478,7,-8.894,1,0.118,0.406,0,0.74,0.843,137.133,4,1
"23",1959,74,"It's Late","Ricky Nelson",0.054,0.091,0.855,-0.9107,0.5,100.24,4,347.4,11,39,294,56,"","5fWoxLPLPaJUy3Iostzl1C",119667,0.6,0.795,8,-8.077,1,0.0629,0.79,0,0.0949,0.898,82.868,4,1
"24",1959,93,"My Wish Came True","Elvis Presley",0.365,0.067,0.568,0.9856,0.1,101.26,3.6,96.3,6,4,83,19,"blues, country, pop, rock","543SzJd0OFYwTU6AucokHq",154640,0.254,0.177,2,-11.765,1,0.0345,0.958,1.49e-05,0.347,0.241,74.586,4,1
"25",1960,6,"I'm Sorry","Brenda Lee",0.204,0.264,0.532,-0.6049,2.5,84.34,3.6,135.9,7,14,100,21,"country, pop, rock","4LJcNiq2pBb8OeqrGdBJQw",161547,0.558,0.223,10,-12.362,1,0.0299,0.868,0.000972,0.13,0.303,101.711,3,1
"26",1960,11,"Everybody's Somebody's Fool","Connie Francis",0.111,0.246,0.643,-0.9673,4.5,73.85,4.4,249.3,11,12,167,24,"pop","2PuOmaS3MsgIgLUFWgLae3",134533,0.256,0.161,7,-12.003,1,0.035,0.497,0,0.307,0.196,170.386,3,1
"27",1960,15,"El Paso","Marty Robbins",0.161,0.16,0.679,-0.0451,1.7,97.2,5.2,567,60,12,466,58,"","0oeg76LVWI7VIWWEqB0Lnn",265293,0.58,0.498,2,-11.003,1,0.032,0.845,3.86e-06,0.274,0.599,104.732,3,1
"28",1960,18,"Sweet Nothin's","Brenda Lee",0.373,0,0.627,0.9962,-0.7,108.7,4,147.6,20,15,139,24,"country, pop, rock","4ZiDhG5Ift5I6reAEOBBec",144600,0.778,0.413,5,-10.551,1,0.0514,0.642,0.00104,0.148,0.961,125.235,4,1
"29",1960,29,"Chain Gang","Sam Cooke",0.034,0.045,0.921,0.5953,-0.3,107.69,4.4,227.7,14,22,216,35,"soul","7v7NjssrHUYWQcAtT29qu9",156387,0.701,0.748,7,-9.286,1,0.0438,0.703,0,0.148,0.931,131.889,4,1
"30",1960,30,"Let It Be Me","Everly Brothers",0.389,0,0.611,0.9948,0.9,99.23,4.4,135,4,9,109,18,"","0V58TmLnChjbNycM9QfFC0",158560,0.229,0.125,7,-14.462,1,0.0335,0.841,0,0.178,0.261,179.181,3,1
"31",1960,71,"That's All You Gotta Do","Brenda Lee",0.14,0.043,0.817,0.9761,0.9,99.23,4.4,285.3,14,26,246,38,"country, pop, rock","1aTHBOr0V8XnbgHSRPyJtg",148973,0.405,0.57,1,-7.919,1,0.042,0.43,5.09e-06,0.238,0.956,195.855,4,1
"32",1960,72,"Walking To New Orleans","Fats Domino",0.094,0.051,0.855,0.7472,0.5,100.24,4,160.2,10,7,137,23,"hip-hop/rnb, rock","5TcEq6qNQJ7HXeTxwB3ZGB",118467,0.582,0.289,1,-14.339,1,0.0465,0.518,0,0.107,0.743,80.75,4,1
"33",1960,86,"Dreamin'","Johnny Burnette",0.24,0,0.76,0.9863,1.7,91.78,4,146.7,10,10,113,21,"","3e6DgJHco44VZekE9wz8Wh",141493,0.471,0.449,11,-9.845,0,0.0546,0.794,2.25e-05,0.35,0.715,74.673,4,1
"34",1960,91,"When Will I Be Loved","Everly Brothers",0.232,0.082,0.686,0.9501,0.5,100.24,4,119.7,7,14,100,18,"","27TC9sT6A3Tr29O9Ya3xWL",125973,0.583,0.478,11,-9.868,1,0.0279,0.0933,0,0.196,0.899,118.019,4,1
"35",1961,5,"Runaway","Del Shannon",0.078,0.137,0.784,-0.8229,1.7,91.78,4,193.5,14,21,150,29,"country, pop","45Szkclj1lt4ubm7RFK68t",137307,0.594,0.533,10,-7.993,0,0.0438,0.153,1.49e-05,0.172,0.729,78.552,4,1
"36",1961,7,"Pony Time","Chubby Checker",0.039,0,0.961,0.8779,5.2,66.4,4,480.6,12,39,309,58,"","45gAw2xmDx9DZAnoiJK723",148733,0.509,0.702,3,-5.695,1,0.0514,0.526,0,0.124,0.947,154.571,4,1
"37",1961,14,"Dedicated To The One I Love","Shirelles",0.173,0.049,0.779,0.967,2.9,88.74,5.2,201.6,14,6,154,19,"pop, hip-hop/rnb, soul","36f5xtZ2CXIc1WOirnnD3j",120307,0.398,0.325,10,-6.159,1,0.0382,0.812,0,0.169,0.454,80.563,4,1
"38",1961,28,"Don't Worry","Marty Robbins",0.415,0.017,0.568,0.9966,1.7,97.2,5.2,157.5,9,2,133,16,"","39QVOsq94wSMJFVSyu7VZy",193667,0.607,0.256,4,-13.349,1,0.0312,0.835,1.4e-05,0.13,0.409,99.055,4,1
"39",1961,31,"Quarter To Three","Gary ""U.S."" Bonds",0.146,0,0.854,0.9873,0.1,106.67,4.8,278.1,11,8,250,33,"","3sJtqKAlFZVvndAPtjI00T",135373,0.657,0.801,8,-5.853,1,0.0719,0.0356,7.3e-05,0.189,0.922,86.085,4,1
"40",1961,53,"Ya Ya","Lee Dorsey",0.292,0,0.708,0.9939,1.3,92.8,3.6,197.1,9,28,154,33,"","4hsNBu9gncNn0q00CTxT24",142072,0.799,0.553,5,-8.338,1,0.0652,0.73,0.000962,0.108,0.924,140.665,4,1
"41",1961,64,"Spanish Harlem","Ben E. King",0.057,0.03,0.912,0.5574,0.1,106.67,4.8,195.3,13,9,170,23,"pop, soul","3UCmuRdeTriWgOZMEJsfqZ",174293,0.608,0.594,2,-11.86,1,0.0435,0.32,4.75e-05,0.129,0.789,125.166,4,1
"42",1961,72,"Wonderland By Night","Bert Kaempfert",0.197,0.068,0.736,0.8625,2.9,83.32,4,80.1,17,1,57,11,"","2Hx6hbmAyRWiZzDOlZaIpE",175973,0.522,0.201,3,-13.589,1,0.0277,0.675,0.14,0.131,0.543,71.621,4,1
"43",1961,81,"Mama Said","Shirelles",0.213,0.011,0.776,0.9937,2.1,90.77,4.4,303.3,13,26,242,36,"pop, hip-hop/rnb, soul","2Qs5tJfqwvz3rEqzfORrVP",126587,0.647,0.654,4,-5.482,1,0.0563,0.328,0,0.141,0.888,140.711,4,1
"44",1961,91,"Dum Dum","Brenda Lee",0.191,0.027,0.782,0.9819,2.1,101.59,6.8,198,8,0,175,14,"country, pop, rock","2amlWbDFBNfQyoHy7mIMnZ",146173,0.691,0.618,6,-6.678,1,0.154,0.831,0,0.136,0.682,126.533,4,1
"45",1961,94,"Let's Twist Again","Chubby Checker",0.181,0,0.819,0.9902,1.7,97.2,5.2,253.8,10,11,210,25,"","1INWPr855fwWdAOeecbu0W",137360,0.604,0.709,8,-6.377,1,0.158,0.0987,0,0.0551,0.907,167.832,4,1
"46",1962,2,"I Can't Stop Loving You","Ray Charles",0.121,0.137,0.742,-0.7278,1.7,91.78,4,273.6,14,19,215,41,"blues, country, jazz, pop, hip-hop/rnb, soul","6TQKdhLCK6wRzOIZIzfwir",178533,0.5,0.333,3,-13.754,1,0.0366,0.552,0,0.156,0.428,81.411,4,1
"47",1962,9,"The Twist","Chubby Checker",0.101,0.079,0.821,0.8052,-0.7,108.7,4,192.6,9,17,176,34,"","6DSvUZQdqtNfkJI4cAiUsM",158867,0.525,0.838,4,-8.42,1,0.0318,0.0134,0.0053,0.0382,0.972,155.03,4,1
"48",1962,10,"Soldier Boy","Shirelles",0.334,0,0.666,0.9932,-0.7,108.7,4,119.7,5,9,107,20,"pop, hip-hop/rnb, soul","7Ag7rVozR1OhzSdqc9K0KN",161747,0.546,0.21,10,-14.006,1,0.0272,0.85,1.5e-05,0.348,0.511,97.716,4,1
"49",1962,17,"Slow Twistin'","Chubby Checker",0.186,0.139,0.676,0.9289,0.5,100.24,4,293.4,14,18,235,40,"","6Ie2IgHpf1Pgdo5swugul3",164853,0.804,0.689,8,-6.892,1,0.0319,0.126,0,0.0391,0.924,120.279,4,1
"50",1962,19,"The One Who Really Loves You","Mary Wells",0.294,0.067,0.639,0.9973,1.7,91.78,4,306.9,28,17,236,40,"","3NmHNVe0vfbkmD6a8OlxEr",143547,0.799,0.612,7,-5.219,1,0.031,0.71,1.07e-05,0.203,0.927,117.399,4,1
"51",1962,22,"Sheila","Tommy Roe",0.298,0.046,0.657,0.9956,2.1,90.77,4.4,281.7,16,21,210,31,"pop","5Mzu8smN6fRBCaUaTytD1W",127067,0.422,0.575,4,-8.993,1,0.107,0.275,0,0.062,0.475,135.63,4,1
"52",1962,28,"Ramblin' Rose","Nat King Cole",0.345,0.018,0.637,0.9913,2.1,90.77,4.4,134.1,8,9,104,17,"jazz, pop, swing","6bZlab0NrNteVppLu9C2Zy",167853,0.431,0.379,9,-8.615,1,0.0267,0.794,0,0.303,0.31,97.061,4,1
"53",1962,30,"She Cried","Jay and The Americans",0.118,0.21,0.672,-0.8199,0.5,100.24,4,107.1,7,9,91,17,"rock","30vrWTWGHRF6mbyCiDMamO",159933,0.423,0.322,10,-13.402,0,0.0265,0.79,1.17e-05,0.0823,0.491,99.888,4,1
"54",1962,38,"Twist And Shout","Isley Brothers",0.136,0.096,0.768,0.9095,-0.3,107.69,4.4,217.8,3,14,190,29,"hip-hop/rnb, rock, soul","0URp9jOJtiWKR1AfMGH2Qj",155400,0.774,0.811,5,-6.526,1,0.0355,0.65,0,0.0736,0.963,123.351,4,1
"55",1962,44,"Baby It's You","Shirelles",0.059,0.099,0.842,-0.7177,-0.3,107.69,4.4,225.9,10,11,215,34,"pop, hip-hop/rnb, soul","52wBOrIX3kkNe1KEALXOGy",154840,0.672,0.358,7,-13.223,0,0.0286,0.289,0.00158,0.334,0.608,113.687,4,1
"56",1962,45,"Speedy Gonzales","Pat Boone",0.037,0.05,0.913,-0.5152,3.3,87.72,5.6,388.8,38,14,308,32,"country, pop","3TmnUIbelFiDzrhZqavHU0",153093,0.589,0.447,11,-12.912,1,0.0748,0.821,0,0.0999,0.789,146.845,4,1
"57",1962,60,"Moon River","Henry Mancini",0.035,0,0.965,0.25,0.5,100.24,4,70.2,14,0,58,11,"classical/soundtrack","7ihhcbtk7VSaLCa7ORD6jq",173800,0.251,0.352,1,-15.382,1,0.039,0.583,0.000354,0.138,0.677,204.353,4,1
"58",1962,62,"Things","Bobby Darin",0.227,0.033,0.741,0.9951,1.3,98.21,4.8,331.2,24,20,281,39,"folk, pop, rock","5hgei65n0pGJ9uUHo8v2en",151413,0.562,0.558,4,-3.572,1,0.0453,0.858,0,0.107,0.839,174.704,4,1
"59",1962,68,"Let's Dance","Chris Montez",0.182,0.009,0.808,0.9814,0.9,99.23,4.4,227.7,7,22,193,29,"","2Qm5DrmotzWvqNM3JlcQYo",149627,0.751,0.83,1,-6.215,1,0.0951,0.212,7.94e-06,0.0584,0.935,76.489,4,1
"60",1962,76,"Love Me Warm And Tender","Paul Anka",0.47,0,0.53,0.9987,0.5,105.66,5.2,191.7,6,11,168,20,"","66g7CmqvizQafcyOWPZgjV",162267,0.585,0.272,5,-17.106,1,0.0349,0.959,0.956,0.0802,0.737,121.169,4,1
"61",1963,3,"The End Of The World","Skeeter Davis",0.013,0.067,0.921,-0.8445,0.1,106.67,4.8,162,10,8,147,20,"","3esK0w6IPlcvCa27sqUYeg",169600,0.192,0.229,7,-13.828,1,0.0309,0.959,0.00146,0.0693,0.226,85.516,3,1
"62",1963,14,"She's A Fool","Lesley Gore",0.227,0.053,0.72,0.9842,-1.8,117.16,4,154.8,3,13,151,26,"pop","3h681qZSmhBOciAXLl1nsA",127000,0.541,0.346,3,-12.348,1,0.0308,0.822,0,0.311,0.617,121.135,4,1
"63",1963,17,"Blowin' In The Wind","Peter, Paul and Mary",0.063,0.008,0.93,0.9008,1.3,98.21,4.8,219.6,10,8,180,25,"folk","5HKSGtEPHYLHaEhxEYIlRy",167267,0.628,0.247,3,-15.059,1,0.029,0.87,0,0.188,0.553,110.932,4,1
"64",1963,21,"I Love You Because","Al Martino",0.374,0.029,0.597,0.9945,1.7,97.2,5.2,149.4,6,7,120,14,"","771mxqxRBBAWTzBUcTJP3A",165453,0.557,0.152,5,-16.91,1,0.0319,0.912,4.41e-06,0.0906,0.457,110.879,4,1
"65",1963,23,"You're The Reason I'm Living","Bobby Darin",0.085,0.094,0.821,0.2467,0.5,100.24,4,136.8,9,8,113,22,"folk, pop, rock","2aXuq1IVWIfKwwQbhFc4qK",148080,0.425,0.265,8,-10.575,1,0.0271,0.827,0,0.229,0.309,73.994,4,1
"66",1963,29,"It's My Party","Lesley Gore",0.177,0.251,0.573,-0.987,-0.3,107.69,4.4,251.1,14,24,230,33,"pop","1Pq47iFLC5U7j8xeNiNcuS",140000,0.692,0.501,9,-11.708,1,0.0625,0.368,0,0.0393,0.961,128.388,4,1
"67",1963,38,"Everybody","Tommy Roe",0,0.142,0.858,-0.9457,10.4,31.55,4.4,255.6,8,25,126,19,"pop","4IJcHdY7t0TcHnmjNtPkil",119187,0.544,0.588,11,-7.595,0,0.0287,0.361,0,0.127,0.842,142.465,4,1
"68",1963,48,"Days Of Wine And Roses","Henry Mancini",0.149,0.055,0.796,0.8176,4.4,79.26,5.6,117.9,11,3,85,9,"classical/soundtrack","1yegDiVa8d94H07ga1SLOt",226200,0.47,0.0296,7,-25.411,0,0.0352,0.991,0.948,0.0976,0.184,89.408,4,1
"69",1963,54,"Two Faces Have I","Lou Christie",0.226,0.176,0.598,0.9254,0.5,100.24,4,143.1,6,13,123,23,"pop","1cpguRdD11njLNH2ZeWygE",165067,0.649,0.584,5,-8.086,1,0.0349,0.72,9.42e-06,0.0996,0.963,139.266,4,1
"70",1963,55,"Busted","Ray Charles",0.047,0.138,0.815,-0.9604,1.7,102.61,6.4,212.4,11,2,186,16,"blues, country, jazz, pop, hip-hop/rnb, soul","6yud4QwlsCkTLdW0ufrwEJ",136027,0.641,0.525,7,-11.153,1,0.0683,0.796,1.21e-05,0.0944,0.541,160.437,3,1
"71",1963,57,"Foolish Little Girl","Shirelles",0.112,0.089,0.799,0.7177,1.3,98.21,4.8,242.1,12,13,202,26,"pop, hip-hop/rnb, soul","093adSf9ll30BEpggrfask",137293,0.739,0.743,7,-5.926,0,0.0321,0.452,0,0.331,0.922,111.07,4,1
"72",1963,59,"In Dreams","Roy Orbison",0.211,0.056,0.732,0.9637,0.9,99.23,4.4,156.6,10,3,131,20,"pop, rock","44pN9jfSqY3d3lrKuv3QeN",169160,0.495,0.435,0,-9.99,1,0.0286,0.67,0.00038,0.13,0.71,108.189,4,1
"73",1963,62,"Losing You","Brenda Lee",0.192,0.17,0.637,0.7678,0.5,100.24,4,120.6,10,5,100,19,"country, pop, rock","78HTdAIfx2UBmFWZN4s7A6",154173,0.384,0.303,4,-9.288,1,0.027,0.516,0,0.185,0.269,110.75,3,1
"74",1963,64,"I Wanna Be Around","Tony Bennett",0.156,0.125,0.719,0.7266,2.9,88.74,5.2,198,8,7,156,19,"jazz, pop","1qoj1ryjm7dRZjjPlYdjkE",122040,0.264,0.367,11,-11.356,0,0.0309,0.758,0,0.363,0.29,78.935,4,1
"75",1963,67,"Little Red Rooster","Sam Cooke",0.024,0.147,0.829,-0.9303,0.5,100.24,4,163.8,6,14,134,24,"soul","1msykqPE0qoZig4nb9khI0",171827,0.597,0.64,9,-7.719,1,0.0427,0.588,0,0.526,0.823,92.422,4,1
"76",1963,71,"Baby Workout","Jackie Wilson",0.094,0.008,0.898,0.9657,-0.7,108.7,4,297,18,8,273,47,"soul","2SnzwEu9uB9VGCx8Faj97j",182413,0.584,0.68,8,-7.333,1,0.0817,0.515,0,0.204,0.87,141.529,4,1
"77",1963,72,"Pride And Joy","Marvin Gaye",0.481,0.014,0.505,0.9995,1.7,91.78,4,350.1,20,17,261,52,"pop, hip-hop/rnb, soul","7yvOPcquZRqoIxk14gkaMk",155267,0.622,0.625,3,-8.635,1,0.0562,0.678,0,0.28,0.842,119.397,4,1
"78",1963,81,"Just One Look","Doris Troy",0.142,0.046,0.811,0.8831,-0.7,108.7,4,117,9,6,103,18,"","3uDy62hp2EPFVrgPuBaGIi",153200,0.726,0.637,2,-7.716,0,0.0264,0.581,0.0119,0.0898,0.969,108.025,4,1
"79",1963,83,"Judy's Turn To Cry","Lesley Gore",0.109,0.236,0.655,-0.9823,0.9,99.23,4.4,226.8,14,20,192,32,"pop","5Vb0SgInHwS0tq46dApdBY",131000,0.742,0.573,11,-12.477,0,0.0591,0.592,0,0.0711,0.968,129.082,4,1
"80",1963,84,"Tie Me Kangaroo Down, Sport","Rolf Harris",0.046,0.099,0.855,-0.9529,1.7,91.78,4,368.1,18,39,279,53,"","2AfutT2aq98taMcrJdtnSy",147987,0.709,0.34,5,-15.852,1,0.0548,0.396,0.797,0.272,0.812,115.332,4,1
"81",1963,87,"That Sunday, That Summer","Nat King Cole",0.162,0,0.838,0.9903,0.9,99.23,4.4,255.6,32,12,206,30,"jazz, pop, swing","3SWIQx1j5erTiT9IXcaRNH",190667,0.249,0.46,1,-9.914,1,0.0406,0.755,0,0.395,0.462,82.495,4,1
"82",1963,88,"Another Saturday Night","Sam Cooke",0.088,0.078,0.834,0.4215,1.7,97.2,5.2,348.3,19,19,288,33,"soul","1W3tSNLUPK7fMR9sMSayYv",156000,0.868,0.521,5,-11.034,1,0.0473,0.608,0.00426,0.0885,0.961,120.752,4,1
"83",1963,91,"Go Away Little Girl","Steve Lawrence",0.114,0.053,0.833,0.8519,1.3,98.21,4.8,157.5,7,5,128,18,"swing","1BPTXKgnEMU8deLqCpDOpP",170933,0.414,0.36,7,-13.792,1,0.034,0.85,0.902,0.128,0.388,122.628,3,1
"84",1963,92,"Take These Chains From My Heart","Ray Charles",0.312,0.056,0.632,0.9968,1.3,103.63,6,204.3,5,10,181,17,"blues, country, jazz, pop, hip-hop/rnb, soul","4jYPd1by72UdzT6XivteXH",152133,0.386,0.343,2,-8.869,1,0.029,0.787,3.9e-05,0.0703,0.375,99.959,4,1
"85",1963,94,"Come And Get These Memories","Martha and The Vandellas",0.184,0.005,0.81,0.9907,1.7,91.78,4,297.9,13,26,228,44,"","5gwvsIrTVL4F76tn9xEhQ3",143667,0.532,0.664,3,-7.293,1,0.0447,0.653,1.14e-06,0.208,0.848,127.007,4,1
"86",1963,95,"Bossa Nova Baby","Elvis Presley",0.084,0,0.916,0.942,5.2,88.06,8.8,261.9,13,11,214,12,"blues, country, pop, rock","22Z6ClJxSRovjPiswfCg3V",122760,0.755,0.736,0,-9.594,1,0.107,0.657,0,0.226,0.953,106.777,4,1
"87",1963,100,"Little Town Flirt","Del Shannon",0.206,0.098,0.696,0.9745,1.3,98.21,4.8,249.3,16,9,211,30,"country, pop","3HTrH00YRZZWJ8C6cb12ea",169200,0.657,0.686,1,-6.851,1,0.0283,0.134,0,0.468,0.883,123.779,4,1
"88",1964,1,"I Want To Hold Your Hand","Beatles",0.389,0.019,0.592,0.9966,-0.7,108.7,4,200.7,5,25,176,35,"pop, rock","2edqbDXMA7Y5i4WRhk6r3F",141554,0.607,0.798,0,-7.694,1,0.0296,0.461,6.31e-06,0.0806,0.862,137.344,4,1
"89",1964,3,"Hello, Dolly!","Louis Armstrong",0.156,0.013,0.831,0.9634,2.1,90.77,4.4,166.5,16,9,128,21,"jazz, pop, swing","63kd4m3VFxcJjPVVtbVNAu",147000,0,0.405,0,-9.935,1,0,0.842,0.00114,0.198,0,0,0,1
"90",1964,6,"Everybody Loves Somebody","Dean Martin",0.309,0.012,0.679,0.9944,5.2,66.4,4,243.9,18,11,149,25,"pop","5I9sHwLDX28tLtzVgKLtpr",164547,0.366,0.391,3,-12.322,1,0.0425,0.854,0,0.352,0.461,119.182,3,1
"91",1964,7,"My Guy","Mary Wells",0.17,0.035,0.794,0.9901,1.3,98.21,4.8,326.7,20,16,284,40,"","4591VqUIXysNlmI5NcAIUd",174440,0.691,0.581,10,-7.85,1,0.065,0.557,4.62e-05,0.147,0.91,126.615,4,1
"92",1964,10,"Where Did Our Love Go","Supremes",0.277,0.104,0.619,0.9855,1.3,92.8,3.6,225,18,22,171,36,"","69RH84na5iUNwrwxpgjC5j",153333,0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,4,1
"93",1964,11,"People","Barbara Streisand",0.238,0.073,0.689,0.9782,3.3,82.31,4.4,166.5,11,5,121,20,"pop","5utYYyUPnf3ayrh9JeM7Y2",220133,0.184,0.342,9,-7.83,1,0.0343,0.943,1.27e-05,0.0956,0.158,76.497,4,1
"94",1964,15,"Do Wah Diddy Diddy","Manfred Mann",0.157,0.017,0.826,0.9918,2.1,90.77,4.4,362.7,20,26,290,42,"pop, hip-hop/rnb","7gEpTMp9MQc1uJwivtL37R",143400,0.661,0.557,4,-8.244,1,0.049,0.262,0,0.0557,0.957,125.445,4,1
"95",1964,29,"Come A Little Bit Closer","Jay and The Americans",0.135,0.07,0.795,0.9633,0.1,106.67,4.8,270,17,12,236,30,"rock","252YuUdUaC5OojaBU0H1CP",166667,0.636,0.684,3,-9.302,1,0.057,0.52,0.0015,0.534,0.881,132.509,4,1
"96",1964,33,"Baby Love","Supremes",0.389,0.053,0.558,0.9988,0.5,100.24,4,261,16,9,219,37,"","5uES1C2NgkdrNHiCwf9jRr",158040,0.595,0.643,5,-9.275,1,0.0365,0.76,0,0.538,0.73,135.633,4,1
