"title","year","position","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","tags","id","popularity","duration_ms","explicit","artists","id_artists","release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"7 Days",2002,52,"Craig David",0.179,0.028,0.793,0.9977,1.3,98.21,4.8,602.1,41,27,497,70,"","1e85s2umVZekQ7VWjAPBIe",46,226000,0,"['Rendy Pandugo']","['04u3fc37nHFKN7GJTSIwI8']","2017-08-11",0.595,0.556,4,-8.05,1,0.0611,0.366,0.00196,0.101,0.402,86.941,4
"7 Things",2008,92,"Miley Cyrus",0.218,0.166,0.616,0.9801,0.9,99.23,4.4,424.8,24,22,353,52,"pop, rock","0FpT75cRdvf6va1TARHrl5",52,213453,0,"['Miley Cyrus']","['5YGY8feqx7naU7z4HrwZM6']","2008-01-01",0.591,0.904,1,-4.478,0,0.0359,0.0244,0,0.0786,0.542,107.027,4
"A Different Corner",1986,98,"George Michael",0.141,0.198,0.662,-0.8092,1.7,97.2,5.2,206.1,8,6,170,21,"pop, rock","7njBQO43OYrfIqwXO6Gcyv",43,237867,0,"['George Michael']","['19ra5tSw0tWufvUp8GotLo']","1986-11-25",0.422,0.252,8,-13.011,0,0.0272,0.842,0.0069,0.106,0.19,100.57,4
"A Groovy Kind Of Love",1988,29,"Phil Collins",0.183,0.05,0.767,0.9719,-0.7,108.7,4,193.5,14,17,169,30,"jazz, pop, rock","6OoCBB0erdARBcGh7LnlwG",35,198147,0,"['Dancing Mood', 'Mimi Maura']","['70XauTb6oEJbXxFoH6wY9F', '4VKHNaUBImLsxPOCdG5Mwl']","2004-06-01",0.733,0.43,9,-14.209,1,0.152,0.253,0,0.124,0.64,170.174,4
"A Love Bizarre",1986,83,"Sheila E.",0.246,0.13,0.624,0.9873,1.7,97.2,5.2,300.6,13,15,255,29,"pop","5R6ol4f8WCUCWNrB7Ymf99",47,738053,0,"['Sheila E.']","['6OQrOpxSIfPai3cFaN4v4P']","1985",0.768,0.612,1,-13.381,1,0.0454,0.0217,0.0239,0.0513,0.878,113.798,4
"A Milli",2008,43,"Lil Wayne",0.13,0.191,0.679,-0.9951,1.3,98.21,4.8,668.7,91,5,551,69,"","3uqinR4FCjLv28bkrTdNX5",65,221840,1,"['Lil Wayne']","['55Aa2cqylxrFIXC767Z865']","2008-01-01",0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486,4
"A Moment Like This",2002,39,"Kelly Clarkson",0.312,0.008,0.68,0.9981,2.9,83.32,4,352.8,20,30,260,44,"pop, rock","5i9UKSttY3V7x9OnYZsMBX",59,257293,0,"['Leona Lewis']","['5lKZWd6HiSCLfnDGrq9RAm']","2007",0.261,0.562,8,-3.667,1,0.0301,0.423,7.54e-06,0.131,0.167,70.543,4
"A Song For Mama",1998,30,"Boyz II Men",0.24,0.033,0.727,0.9983,1.7,97.2,5.2,495,23,22,418,52,"pop, soul","6FuJokk9FHx0E00SZ8ib8X",52,303373,0,"['Boyz II Men']","['6O74knDqdv3XaWtkII7Xjp']","1997-03-23",0.569,0.44,7,-8.948,1,0.035,0.471,0,0.143,0.151,75.001,4
"A Thousand Miles",2002,6,"Vanessa Carlton",0.025,0.054,0.922,-0.7392,-0.3,107.69,4.4,302.4,20,23,268,44,"pop, rock","3j03kSTwHPpbLDkp1Ayzxp",8,237493,0,"['Vanessa Carlton']","['5ILrArfIV0tMURcHJN8Q07']","2020-12-16",0.559,0.845,11,-3.871,1,0.0379,0.222,0,0.164,0.304,94.916,4
"A Thousand Years",2012,87,"Christina Perri",0.274,0.061,0.665,0.9956,2.5,89.75,4.8,278.1,16,17,216,28,"alternative/indie, pop","6vlykkGvIk0CXVA6pru6sC",19,295000,0,"['Kenny K. Low']","['0vySEvsXjdxQNyXlyGMAEF']","2019-10-31",0.227,0.388,5,-6.818,1,0.0302,0.804,5.45e-05,0.121,0.229,134.818,3
