,year,position,title,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
128,1986,90,Sweet Love,Anita Baker,0.257,0.126,0.617,0.9963,0.9,99.23,4.4,347.4,17,18,290,44,"jazz, hip-hop/rnb, soul",0.505,0.669,10,-7.255,0.0,0.0231,0.428,0.0,0.0609,0.689,87.541,audio_features,4xVXe1VS5zlQyECVk6GRrL,spotify:track:4xVXe1VS5zlQyECVk6GRrL,https://api.spotify.com/v1/tracks/4xVXe1VS5zlQyECVk6GRrL,https://api.spotify.com/v1/audio-analysis/4xVXe1VS5zlQyECVk6GRrL,262267.0,4.0
129,1986,91,Your Wildest Dreams,Moody Blues,0.164,0.029,0.806,0.9779,1.3,92.8,3.6,283.5,10,27,226,46,,0.534,0.582,7,-15.997,1.0,0.0374,0.289,0.0338,0.283,0.653,141.362,audio_features,1T4iwEA2ySieXjWxjiMVWs,spotify:track:1T4iwEA2ySieXjWxjiMVWs,https://api.spotify.com/v1/tracks/1T4iwEA2ySieXjWxjiMVWs,https://api.spotify.com/v1/audio-analysis/1T4iwEA2ySieXjWxjiMVWs,291000.0,4.0
130,1986,92,Spies Like Us,Paul McCartney,0.133,0.06,0.807,0.9545,0.5,100.24,4.0,276.3,9,21,236,41,"classical/soundtrack, folk, pop, rock",0.606,0.643,7,-10.438,1.0,0.0305,0.0286,0.00247,0.238,0.717,96.088,audio_features,4zpKunH4r2FFnETG9aEhfa,spotify:track:4zpKunH4r2FFnETG9aEhfa,https://api.spotify.com/v1/tracks/4zpKunH4r2FFnETG9aEhfa,https://api.spotify.com/v1/audio-analysis/4zpKunH4r2FFnETG9aEhfa,287907.0,4.0
131,1986,94,Dreamtime,Daryl Hall,0.108,0.063,0.829,0.7214,1.7,97.2,5.2,444.6,23,17,358,42,,0.617,0.773,7,-10.03,1.0,0.0323,0.0333,1.46e-06,0.0994,0.794,121.675,audio_features,7kZZ2Hmkg1zfwrQLsmypNE,spotify:track:7kZZ2Hmkg1zfwrQLsmypNE,https://api.spotify.com/v1/tracks/7kZZ2Hmkg1zfwrQLsmypNE,https://api.spotify.com/v1/audio-analysis/7kZZ2Hmkg1zfwrQLsmypNE,285093.0,4.0
132,1986,96,King For A Day,Thompson Twins,0.24,0.043,0.718,0.9983,-0.7,108.7,4.0,422.1,13,50,375,69,,0.71,0.78,4,-7.45,1.0,0.0406,0.096,9.12e-06,0.0506,0.64,109.089,audio_features,6zcPWQ6X2LlxLRBK4DGPqH,spotify:track:6zcPWQ6X2LlxLRBK4DGPqH,https://api.spotify.com/v1/tracks/6zcPWQ6X2LlxLRBK4DGPqH,https://api.spotify.com/v1/audio-analysis/6zcPWQ6X2LlxLRBK4DGPqH,318560.0,4.0
133,1986,97,Love Will Conquer All,Lionel Richie,0.111,0.092,0.798,0.7615,0.1,101.26,3.6,291.6,12,25,253,55,"pop, soul",0.79,0.443,2,-10.078,0.0,0.026,0.169,1.68e-06,0.272,0.646,98.043,audio_features,6nbi2AJ9hAi2SE8jH6mRKV,spotify:track:6nbi2AJ9hAi2SE8jH6mRKV,https://api.spotify.com/v1/tracks/6nbi2AJ9hAi2SE8jH6mRKV,https://api.spotify.com/v1/audio-analysis/6nbi2AJ9hAi2SE8jH6mRKV,340987.0,4.0
134,1986,98,A Different Corner,George Michael,0.141,0.198,0.662,-0.8092,1.7,97.2,5.2,206.1,8,6,170,21,"pop, rock",0.263,0.286,6,-10.34,1.0,0.0335,0.857,0.00898,0.105,0.151,99.001,audio_features,6khoye7kysa6cLGY0AO9dO,spotify:track:6khoye7kysa6cLGY0AO9dO,https://api.spotify.com/v1/tracks/6khoye7kysa6cLGY0AO9dO,https://api.spotify.com/v1/audio-analysis/6khoye7kysa6cLGY0AO9dO,243533.0,4.0
135,1986,100,Go Home,Stevie Wonder,0.149,0.064,0.787,0.9884,2.1,96.18,5.6000000000000005,425.7,15,24,358,39,"pop, soul",0.75,0.498,7,-15.939,0.0,0.0372,0.141,5.61e-05,0.135,0.857,119.238,audio_features,5zSwmohdHeH2xmrWDFZUZZ,spotify:track:5zSwmohdHeH2xmrWDFZUZZ,https://api.spotify.com/v1/tracks/5zSwmohdHeH2xmrWDFZUZZ,https://api.spotify.com/v1/audio-analysis/5zSwmohdHeH2xmrWDFZUZZ,318040.0,4.0
136,1987,1,Walk Like An Egyptian,Bangles,0.097,0.057,0.847,0.8387,2.1,90.77,4.4,288.9,27,13,230,35,"pop, rock",0.711,0.833,11,-12.756,1.0,0.0851,0.0144,3.46e-06,0.303,0.756,103.153,audio_features,5L6HNuXN71bfeuKXYtRasF,spotify:track:5L6HNuXN71bfeuKXYtRasF,https://api.spotify.com/v1/tracks/5L6HNuXN71bfeuKXYtRasF,https://api.spotify.com/v1/audio-analysis/5L6HNuXN71bfeuKXYtRasF,203227.0,4.0
137,1987,2,Alone,Heart,0.085,0.06,0.855,0.5553,1.3,98.21,4.800000000000001,209.7,11,14,181,25,rock,0.418,0.452,1,-13.099,1.0,0.0356,0.638,0.00026,0.0959,0.168,175.088,audio_features,54b8qPFqYqIndfdxiLApea,spotify:track:54b8qPFqYqIndfdxiLApea,https://api.spotify.com/v1/tracks/54b8qPFqYqIndfdxiLApea,https://api.spotify.com/v1/audio-analysis/54b8qPFqYqIndfdxiLApea,218733.0,4.0
138,1987,4,I Wanna Dance With Somebody,Whitney Houston,0.183,0.033,0.784,0.9949,3.3,82.31,4.4,487.8,15,39,350,55,pop,0.709,0.824,1,-8.824,1.0,0.0453,0.207,0.000307,0.0888,0.867,118.818,audio_features,2tUBqZG2AbRi7Q0BIrVrEj,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,https://api.spotify.com/v1/tracks/2tUBqZG2AbRi7Q0BIrVrEj,https://api.spotify.com/v1/audio-analysis/2tUBqZG2AbRi7Q0BIrVrEj,291293.0,4.0
139,1987,7,Here I Go Again,Whitesnake,0.176,0.059,0.765,0.9876,1.3,98.21,4.800000000000001,395.1,14,35,325,46,"blues, rock",0.292,0.823,7,-6.763,1.0,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,audio_features,1qOU8KzFifXE9YrgjVwYvc,spotify:track:1qOU8KzFifXE9YrgjVwYvc,https://api.spotify.com/v1/tracks/1qOU8KzFifXE9YrgjVwYvc,https://api.spotify.com/v1/audio-analysis/1qOU8KzFifXE9YrgjVwYvc,275395.0,4.0
140,1987,8,The Way It Is,Bruce Hornsby and The Range,0.036,0.034,0.931,0.1141,0.1,106.67,4.800000000000001,240.3,12,14,218,31,,0.565,0.41,7,-11.024,1.0,0.0375,0.16,0.812,0.189,0.352,111.337,audio_features,6qqODGz2Ob4Yt139qzN3NO,spotify:track:6qqODGz2Ob4Yt139qzN3NO,https://api.spotify.com/v1/tracks/6qqODGz2Ob4Yt139qzN3NO,https://api.spotify.com/v1/audio-analysis/6qqODGz2Ob4Yt139qzN3NO,272949.0,4.0
141,1987,9,Shakedown,Bob Seger,0.079,0.121,0.8,-0.9167,4.1,74.86,4.0,428.4,31,39,278,47,,0.571,0.944,2,-5.365,1.0,0.072,0.0323,3.26e-06,0.308,0.498,170.696,audio_features,303oOLP2Jf6M4rke52qItM,spotify:track:303oOLP2Jf6M4rke52qItM,https://api.spotify.com/v1/tracks/303oOLP2Jf6M4rke52qItM,https://api.spotify.com/v1/audio-analysis/303oOLP2Jf6M4rke52qItM,241947.0,4.0
142,1987,11,La Bamba,Los Lobos,0.0,0.034,0.966,-0.5267,4.5,73.85,4.4,198.0,18,22,134,22,"blues, folk, rock",0.506,0.764,0,-12.239,1.0,0.046,0.144,0.00025,0.247,0.868,156.336,audio_features,0uMMLry3hzWGn3q3loqMkm,spotify:track:0uMMLry3hzWGn3q3loqMkm,https://api.spotify.com/v1/tracks/0uMMLry3hzWGn3q3loqMkm,https://api.spotify.com/v1/audio-analysis/0uMMLry3hzWGn3q3loqMkm,174187.0,4.0
143,1987,12,Everybody Have Fun Tonight,Wang Chung,0.238,0.017,0.745,0.9967,6.4,57.94,4.0,448.2,19,35,265,50,"electronic/dance, pop, rock",0.728,0.619,9,-12.265,1.0,0.0379,0.0884,8.44e-05,0.039,0.747,128.845,audio_features,6qBSGvyUzqNQv8XtnzCr9n,spotify:track:6qBSGvyUzqNQv8XtnzCr9n,https://api.spotify.com/v1/tracks/6qBSGvyUzqNQv8XtnzCr9n,https://api.spotify.com/v1/audio-analysis/6qBSGvyUzqNQv8XtnzCr9n,287360.0,4.0
144,1987,14,Always,Atlantic Starr,0.259,0.0,0.741,0.9973,0.9,99.23,4.4,286.2,9,26,246,37,"disco, pop",0.613,0.484,0,-9.162,1.0,0.0251,0.25,2.11e-06,0.195,0.31,131.25,audio_features,5ecomU85GzPgOJZ315oZ88,spotify:track:5ecomU85GzPgOJZ315oZ88,https://api.spotify.com/v1/tracks/5ecomU85GzPgOJZ315oZ88,https://api.spotify.com/v1/audio-analysis/5ecomU85GzPgOJZ315oZ88,286973.0,4.0
145,1987,15,With Or Without You,U2,0.041,0.022,0.936,0.0974,0.5,100.24,4.0,211.5,4,27,183,35,,0.54,0.429,2,-11.822,1.0,0.0285,0.000202,0.355,0.141,0.113,110.171,audio_features,6ADSaE87h8Y3lccZlBJdXH,spotify:track:6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/tracks/6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/audio-analysis/6ADSaE87h8Y3lccZlBJdXH,295516.0,4.0
146,1987,16,Looking For A New Love,Jody Watley,0.427,0.025,0.548,0.9997,0.9,99.23,4.4,512.1,17,48,430,62,"electronic/dance, pop, soul",0.905,0.604,4,-7.433,0.0,0.0413,0.149,9.24e-05,0.0523,0.899,109.196,audio_features,7BeV8s7R68eqPelMmvp5tu,spotify:track:7BeV8s7R68eqPelMmvp5tu,https://api.spotify.com/v1/tracks/7BeV8s7R68eqPelMmvp5tu,https://api.spotify.com/v1/audio-analysis/7BeV8s7R68eqPelMmvp5tu,242400.0,4.0
147,1987,19,Mony Mony,Billy Idol,0.432,0.029,0.539,0.9993,0.9,99.23,4.4,406.8,10,23,339,51,"electronic/dance, rock",0.742,0.743,10,-6.293,0.0,0.0508,0.00935,0.0,0.22,0.485,135.012,audio_features,2LbkpJUH052AvFcNIgjHTO,spotify:track:2LbkpJUH052AvFcNIgjHTO,https://api.spotify.com/v1/tracks/2LbkpJUH052AvFcNIgjHTO,https://api.spotify.com/v1/audio-analysis/2LbkpJUH052AvFcNIgjHTO,301800.0,4.0
