,title,year,position,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags,id_x,popularity,duration_ms_x,explicit,artists,id_artists,release_date,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,type,id_y,uri,track_href,analysis_url,duration_ms_y,time_signature_y
0,(When You Gonna) Give It Up To Me,2006,37,Sean Paul,0.171,0.03,0.8,0.9985,2.5,95.17,6.0,947.7,25,57,820,78,"pop, hip-hop/rnb",,,,,,,,,,,,,,,,,,,,0.711,0.761,8,-3.04,1.0,0.225,0.067,0.0,0.041,0.718,95.824,audio_features,6k8uthjEbttfWXcGaNTQGD,spotify:track:6k8uthjEbttfWXcGaNTQGD,https://api.spotify.com/v1/tracks/6k8uthjEbttfWXcGaNTQGD,https://api.spotify.com/v1/audio-analysis/6k8uthjEbttfWXcGaNTQGD,243880.0,4.0
1,(You Gotta) Fight For Your Right,1987,98,Beastie Boys,0.16,0.175,0.664,0.3392,1.3,98.21,4.8,181.8,19,18,157,22,"electronic/dance, hip-hop/rnb, rock, religious",,,,,,,,,,,,,,,,,,,,0.691,0.838,8,-5.321,1.0,0.0316,0.0447,0.000215,0.112,0.716,133.507,audio_features,2QvIOJ4EIz4MIwWRpKG4mi,spotify:track:2QvIOJ4EIz4MIwWRpKG4mi,https://api.spotify.com/v1/tracks/2QvIOJ4EIz4MIwWRpKG4mi,https://api.spotify.com/v1/audio-analysis/2QvIOJ4EIz4MIwWRpKG4mi,210387.0,4.0
2,"1, 2 Step",2005,5,Ciara,0.14,0.046,0.814,0.994,2.1,96.18,5.6,584.1,40,24,475,51,"electronic/dance, pop",,,,,,,,,,,,,,,,,,,,0.944,0.511,5,-10.96,0.0,0.161,0.042,0.00107,0.0379,0.842,113.046,audio_features,7uKcScNXuO3MWw6LowBjW1,spotify:track:7uKcScNXuO3MWw6LowBjW1,https://api.spotify.com/v1/tracks/7uKcScNXuO3MWw6LowBjW1,https://api.spotify.com/v1/audio-analysis/7uKcScNXuO3MWw6LowBjW1,203787.0,4.0
3,18 And Life,1989,61,Skid Row,0.112,0.158,0.729,-0.9445,0.5,100.24,4.0,358.2,26,22,297,52,,,,,,,,,,,,,,,,,,,,,0.466,0.648,1,-11.101,0.0,0.028,0.0023,1.49e-05,0.112,0.305,90.435,audio_features,0qgrrDnUUhyxpxbBznUnzg,spotify:track:0qgrrDnUUhyxpxbBznUnzg,https://api.spotify.com/v1/tracks/0qgrrDnUUhyxpxbBznUnzg,https://api.spotify.com/v1/audio-analysis/0qgrrDnUUhyxpxbBznUnzg,229960.0,4.0
4,1st Of Tha Month,1995,89,Bone Thugs-N-Harmony,0.03,0.042,0.929,-0.9258,1.3,103.63,6.0,1797.3,109,58,1619,153,,,,,,,,,,,,,,,,,,,,,0.729,0.581,5,-8.235,0.0,0.18,0.0777,3.81e-06,0.696,0.508,74.038,audio_features,1dF5Y2dd7Wm4wZKvVjWBpr,spotify:track:1dF5Y2dd7Wm4wZKvVjWBpr,https://api.spotify.com/v1/tracks/1dF5Y2dd7Wm4wZKvVjWBpr,https://api.spotify.com/v1/audio-analysis/1dF5Y2dd7Wm4wZKvVjWBpr,314680.0,4.0
5,3 A.M. Eternal,1991,61,KLF,0.044,0.009,0.948,0.7936,0.5,100.24,4.0,208.8,25,9,172,32,"electronic/dance, pop",,,,,,,,,,,,,,,,,,,,N,o,n,e,,,,,,,,,,,,,,
6,50 Ways To Say Goodbye,2012,81,Train,0.275,0.124,0.601,0.9975,0.9,99.23,4.4,438.3,26,36,373,54,"alternative/indie, pop",,,,,,,,,,,,,,,,,,,,0.591,0.935,6,-2.664,1.0,0.0478,0.000284,0.000278,0.142,0.736,140.043,audio_features,2NniAhAtkRACaMeYt48xlD,spotify:track:2NniAhAtkRACaMeYt48xlD,https://api.spotify.com/v1/tracks/2NniAhAtkRACaMeYt48xlD,https://api.spotify.com/v1/audio-analysis/2NniAhAtkRACaMeYt48xlD,247947.0,4.0
7,679,2015,21,Fetty Wap,0.144,0.095,0.761,0.9548,1.3,98.21,4.8,568.8,51,35,492,70,,,,,,,,,,,,,,,,,,,,,0.618,0.717,7,-5.738,1.0,0.318,0.00256,0.0,0.625,0.603,190.05,audio_features,5NQbUaeTEOGdD6hHcre0dZ,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,196693.0,4.0
8,A New Day has Come,2002,91,Celine Dion,0.121,0.105,0.774,0.8739,-0.3,107.69,4.4,327.6,11,30,294,43,pop,,,,,,,,,,,,,,,,,,,,0.691,0.64,8,-5.087,1.0,0.0384,0.0247,5.24e-06,0.2,0.452,101.991,audio_features,2FTZeRHQ4gRPViPMpWL9uX,spotify:track:2FTZeRHQ4gRPViPMpWL9uX,https://api.spotify.com/v1/tracks/2FTZeRHQ4gRPViPMpWL9uX,https://api.spotify.com/v1/audio-analysis/2FTZeRHQ4gRPViPMpWL9uX,210227.0,4.0
9,A Rose Is Still A Rose,1998,95,Aretha Franklin,0.061,0.054,0.885,0.7209,1.3,98.21,4.8,499.5,30,31,427,58,"jazz, pop, hip-hop/rnb, rock, soul",,,,,,,,,,,,,,,,,,,,0.631,0.793,8,-7.551,0.0,0.251,0.212,0.0,0.0441,0.826,175.814,audio_features,3pi27Gt4NetgWmEMFOCjBQ,spotify:track:3pi27Gt4NetgWmEMFOCjBQ,https://api.spotify.com/v1/tracks/3pi27Gt4NetgWmEMFOCjBQ,https://api.spotify.com/v1/audio-analysis/3pi27Gt4NetgWmEMFOCjBQ,266667.0,4.0
